France 1998,Didier DESCHAMPS,48455,3,0,0,600,6
France 1998,Mario STANIC,159172,3,0,0,619,7
France 1998,Alfred PHIRI,170643,1,0,1,23,1
France 1998,Morten WIEGHORST,164614,1,0,1,81,3
France 1998,Ramon RAMIREZ,177982,1,0,1,269,3
France 1998,Zinedine ZIDANE,163331,1,0,1,461,5
France 1998,Laurent BLANC,46662,1,0,1,496,5
France 1998,Arthur NUMAN,95134,1,1,0,497,6
France 1998,Stig TOFTING,95174,2,0,0,60,2
France 1998,Darren JACKSON,157541,2,0,0,139,2
France 1998,Said CHIBA,156734,2,0,0,166,2
France 1998,CLAYTON,170737,2,0,0,180,2
France 1998,Eisuke NAKANISHI,159120,2,0,0,180,2
France 1998,Jose SANTA,154743,2,0,0,180,2
France 1998,Moises VILLARROEL,154565,2,0,0,229,3
France 1998,Francisco ROJAS,154552,2,0,0,257,3
France 1998,Iulian FILIPESCU,160668,2,0,0,270,3
France 1998,Jay Jay OKOCHA,77328,2,0,0,270,3
France 1998,LEE Min Sung,156236,2,0,0,270,3
France 1998,Lucas RADEBE,93410,2,0,0,270,3
France 1998,Nelson PARRAGUEZ,154544,2,0,0,270,3
France 1998,Peter SCHOETTEL,44613,2,0,0,270,3
France 1998,Uche OKECHUKWU,93444,2,0,0,270,3
France 1998,Michael TARNAT,155365,2,0,0,280,4
France 1998,Dragan STOJKOVIC,44667,2,0,0,298,4
France 1998,Didi HAMANN,159386,2,0,0,299,5
France 1998,Francisco ARCE,162012,2,0,0,300,3
France 1998,Lothar MATTHAEUS,174742,2,0,0,315,4
France 1998,Jose CHAMOT,78407,2,0,0,317,4
France 1998,Gheorghe POPESCU,174876,2,0,0,328,4
France 1998,Dan PETRESCU,56197,2,0,0,345,4
France 1998,Cuauhtemoc BLANCO,162580,2,0,0,360,4
France 1998,Kjetil REKDAL,56798,2,0,0,360,4
France 1998,Miguel BENITEZ,162752,2,0,0,367,4
France 1998,Soren COLDING,154922,2,0,0,405,5
France 1998,Joerg HEINRICH,155340,2,0,0,417,5
France 1998,Luigi DI BIAGIO,170774,2,0,0,423,5
France 1998,Marc RIEPER,95166,2,0,0,450,5
France 1998,Alessandro COSTACURTA,77242,2,0,0,480,5
France 1998,Paolo MALDINI,174730,2,0,0,480,5
France 1998,Zvonimir BOBAN,155688,2,0,0,509,6
France 1998,CAFU (Marcos Evangelista de Moraes),76824,2,0,0,540,6
France 1998,Zvonimir SOLDO,155708,2,0,0,540,6
France 1998,ALDAIR,63545,2,0,0,558,6
France 1998,Edgar DAVIDS,160385,2,0,0,570,6
France 1998,Aljosa ASANOVIC,155686,2,0,0,630,7
France 1998,Slaven BILIC,253567,2,0,0,630,7
France 1998,Jaap STAM,155677,2,0,0,660,7
France 1998,JUNIOR BAIANO,170686,2,0,0,660,7
France 1998,LAUREN,171400,0,0,1,6,1
France 1998,Miklos MOLNAR,154935,0,0,1,8,1
France 1998,Gert VERHEYEN,154199,0,0,1,37,1
France 1998,Mohammed AL KHILAIWI,77505,0,0,1,109,2
France 1998,HA Seok Ju,77929,0,0,1,120,2
France 1998,Raymond KALLA,130674,0,0,1,132,2
France 1998,David BECKHAM,161454,0,0,1,195,3
France 1998,Pavel PARDO,156614,0,0,1,208,3
France 1998,Craig BURLEY,157525,0,0,1,233,3
France 1998,Patrick KLUIVERT,155670,0,0,1,382,4
France 1998,Christian WOERNS,155369,0,0,1,400,5
France 1998,Darryl POWELL,170825,0,1,0,66,2
France 1998,Anatoli NANKOV,166906,0,1,0,117,2
France 1998,Marcel DESAILLY,95650,0,1,0,668,7
France 1998,Julen GUERRERO,77902,1,0,0,21,1
France 1998,Takashi HIRANO,156043,1,0,0,38,2
